@relation InstanceResultListener

@attribute Key_Dataset {balance-scale}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes,weka.classifiers.lazy.IBk,weka.classifiers.functions.Logistic,weka.classifiers.trees.J48,weka.classifiers.functions.SMO}
@attribute Key_Scheme_options {-output-debug-info,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-R 1.0E-8 -M -1 -num-decimal-places 4','-C 0.25 -M 2','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V 5 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"'}
@attribute Key_Scheme_version_ID {5995231201785697655,-3080186098777067172,3932117032546553727,-217733168393644444,-6585883636378691736}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 7\nSize of the tree: 9\n','Number of leaves: 11\nSize of the tree: 14\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

balance-scale,1,1,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,562,63,18,45,0,28.571429,71.428571,0,0.107649,0.314751,0.402775,98.355486,100.689392,146.29757,147.948861,-1.651291,2.322184,2.348395,-0.026211,12.322525,0.195596,530.70535,0.846154,11,0.42,21,0.58,29,0.153846,2,0.34375,0.846154,0.488889,0.344959,0.648462,0.267546,0.285714,0.177871,0.822129,0.714286,0.211885,0.285714,0.189869,0.090457,0.436495,0.191591,0.191214,0.285714,0,0,0,0,0,0,4187,40635,6204,100,100,?,?,?,?
balance-scale,1,2,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,562,63,15,48,0,23.809524,76.190476,0,0.047859,0.314028,0.401992,98.129682,100.493512,146.29757,148.189725,-1.892154,2.322184,2.352218,-0.030034,12.513938,0.198634,538.949108,0.769231,10,0.34,17,0.66,33,0.230769,3,0.37037,0.769231,0.5,0.351006,0.616923,0.279464,0.238095,0.189468,0.810532,0.761905,0.12983,0.238095,0.163118,0.015517,0.435182,0.203829,0.161425,0.238095,0,0,0,0,0,0,4187,40635,6204,96.825397,98.095238,?,?,?,?
balance-scale,1,3,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,562,63,16,47,0,25.396825,74.603175,0,0.067402,0.314401,0.40195,98.246305,100.483136,146.29757,147.900864,-1.603294,2.322184,2.347633,-0.025449,12.098466,0.192039,521.055608,0.769231,10,0.46,23,0.54,27,0.230769,3,0.30303,0.769231,0.434783,0.250566,0.510769,0.210121,0.253968,0.186517,0.813483,0.746032,0.11222,0.253968,0.155023,0.029973,0.472356,0.215434,0.155528,0.253968,0,0,0,0,0,0,4187,40635,6204,98.412698,98.095238,?,?,?,?
balance-scale,1,4,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,562,63,11,52,0,17.460317,82.539683,0,-0.032136,0.316457,0.404087,98.888504,101.017272,146.29757,148.368124,-2.070554,2.322184,2.35505,-0.032866,9.866907,0.156618,424.947005,0.615385,8,0.42,21,0.58,29,0.384615,5,0.275862,0.615385,0.380952,0.158638,0.533846,0.215161,0.174603,0.206368,0.793632,0.825397,0.084135,0.174603,0.113241,-0.064986,0.475982,0.201999,0.112554,0.174603,0,0,0,0,0,0,4187,40635,6204,100,100,?,?,?,?
balance-scale,1,5,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,562,63,12,51,0,19.047619,80.952381,0,-0.010377,0.316832,0.40515,99.005713,101.283015,146.29757,150.48275,-4.185179,2.322184,2.388615,-0.066431,9.959845,0.158093,428.949657,0.538462,7,0.42,21,0.58,29,0.461538,6,0.25,0.538462,0.341463,0.096476,0.506923,0.208851,0.190476,0.200672,0.799328,0.809524,0.088217,0.190476,0.120586,-0.034298,0.46775,0.195519,0.120924,0.190476,0,0,0,0.015625,0,15.625,4187,40635,6204,96.825397,98.412698,?,?,?,?
balance-scale,1,6,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,563,62,15,47,0,24.193548,75.806452,0,0.048024,0.309952,0.395582,96.855899,98.891034,143.975628,138.458248,5.51738,2.322188,2.233198,0.08899,14.920835,0.240659,642.60911,0.583333,7,0.26,13,0.74,37,0.416667,5,0.35,0.583333,0.4375,0.273267,0.789167,0.400927,0.241935,0.194589,0.805411,0.758065,0.125584,0.241935,0.164555,0.016105,0.488805,0.240382,0.16369,0.241935,0,0,0,0,0,0,4187,40704,6135,100,100,?,?,?,?
balance-scale,1,7,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,563,62,21,41,0,33.870968,66.129032,0,0.171987,0.305186,0.388565,95.366497,97.136925,143.975628,132.025643,11.949985,2.322188,2.129446,0.192742,16.745759,0.270093,721.204739,0.916667,11,0.24,12,0.76,38,0.083333,1,0.478261,0.916667,0.628571,0.553419,0.841667,0.435031,0.33871,0.167281,0.832719,0.66129,0.185289,0.33871,0.231894,0.115722,0.560421,0.253014,0.232481,0.33871,0.001,0,0,0,0,0,4187,40704,6135,100,100,?,?,?,?
balance-scale,1,8,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,563,62,13,49,0,20.967742,79.032258,0,0.015554,0.312676,0.399443,97.707026,99.856326,143.975628,142.216133,1.759495,2.322188,2.293809,0.028379,12.537262,0.202214,539.953614,0.916667,11,0.4,20,0.6,30,0.083333,1,0.354839,0.916667,0.511628,0.408248,0.694167,0.353781,0.209677,0.194575,0.805425,0.790323,0.098632,0.209677,0.130088,-0.007633,0.474078,0.224789,0.131955,0.209677,0,0,0,0,0,0,4187,40704,6135,100,100,?,?,?,?
balance-scale,1,9,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,563,62,14,48,0,22.580645,77.419355,0,0.030935,0.31494,0.403084,98.414511,100.76656,143.975628,145.605938,-1.63031,2.322188,2.348483,-0.026295,11.711185,0.18889,504.376194,0.583333,7,0.42,21,0.58,29,0.416667,5,0.25,0.583333,0.35,0.129668,0.534167,0.208641,0.225806,0.194786,0.805214,0.774194,0.107097,0.225806,0.144992,-0.001574,0.461728,0.19696,0.143684,0.225806,0,0,0,0,0,0,4187,40704,6135,100,100,?,?,?,?
