@relation InstanceResultListener

@attribute Key_Dataset {nursey}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.IBk}
@attribute Key_Scheme_options {'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"'}
@attribute Key_Scheme_version_ID {-3080186098777067172}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureKNN numeric

@data

nursey,1,1,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1711,11664,1296,1274,22,0,98.302469,1.697531,0,0.974984,0.086334,0.147543,31.620265,39.933819,2223.34536,484.330981,1739.014379,1.715544,0.373712,1.341832,1739.014379,1.341832,101235.079097,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.983025,0.008231,0.991769,0.016975,0.983561,0.983025,0.980908,0.976943,0.999312,0.998477,0.905388,0.983025,0.001,11.003,0,10.453125,0,10453.125,1182594,1180677,133509,100,54.351852,?,1
nursey,1,2,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1711,11664,1296,1271,25,0,98.070988,1.929012,0,0.971523,0.085272,0.146028,31.231321,39.523824,2223.34536,477.315756,1746.029604,1.715544,0.368299,1.347245,1746.029604,1.347245,101643.463787,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.98071,0.009391,0.990609,0.01929,0.981547,0.98071,0.976699,0.973447,0.999231,0.998261,0.866916,0.98071,0.002,10.829,0,10.375,0,10375,1182594,1180677,133509,100,54.290123,?,1
nursey,1,3,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1711,11664,1296,1280,16,0,98.765432,1.234568,0,0.981805,0.084881,0.144249,31.097519,39.055592,2219.652247,474.35005,1745.302196,1.712695,0.366011,1.346684,1745.302196,1.346684,101582.392253,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.987654,0.006066,0.993934,0.012346,0.9881,0.987654,0.985996,0.983642,0.999408,0.998677,0.918563,0.987654,0.001,11.028,0,10.625,0,10625,1182578,1180677,133509,100,54.41358,?,14
nursey,1,4,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1711,11664,1296,1272,24,0,98.148148,1.851852,0,0.972702,0.086388,0.148085,31.649863,40.094226,2219.652247,485.715183,1733.937063,1.712695,0.37478,1.337914,1733.937063,1.337914,100920.903716,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.981481,0.008901,0.991099,0.018519,0.98186,0.981481,0.979554,0.974525,0.999147,0.998155,0.907271,0.981481,0.001,10.595,0,10.234375,0,10234.375,1182586,1180677,133509,100,54.166667,?,13
nursey,1,5,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1712,11664,1296,1278,18,0,98.611111,1.388889,0,0.979538,0.085694,0.146026,31.386407,39.523938,2223.268119,478.99991,1744.268209,1.715485,0.369599,1.345886,1744.268209,1.345886,101540.535008,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.986111,0.006795,0.993205,0.013889,0.986585,0.986111,0.984264,0.98144,0.999409,0.998622,0.914209,0.986111,0,10.37,0,10.109375,0,10109.375,1182570,1180677,133509,100,54.197531,?,1
nursey,1,6,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1712,11664,1296,1271,25,0,98.070988,1.929012,0,0.971603,0.085873,0.145544,31.451986,39.393328,2223.268119,480.17089,1743.097229,1.715485,0.370502,1.344982,1743.097229,1.344982,101472.367754,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.98071,0.009241,0.990759,0.01929,0.981056,0.98071,0.979382,0.97335,0.999344,0.998573,0.922068,0.98071,0.001,10.236,0,9.953125,0,9953.125,1182578,1180677,133509,100,54.444444,?,1
nursey,1,7,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1712,11664,1296,1271,25,0,98.070988,1.929012,0,0.971568,0.086378,0.147931,31.6368,40.039587,2223.268119,485.75191,1737.51621,1.715485,0.374809,1.340676,1737.51621,1.340676,101147.475239,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.98071,0.009419,0.990581,0.01929,0.981526,0.98071,0.978651,0.973661,0.999146,0.998167,0.903635,0.98071,0,10.796,0,10.28125,0,10281.25,1182578,1180677,133509,100,54.259259,?,1
nursey,1,8,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1712,11664,1296,1277,19,0,98.533951,1.466049,0,0.97841,0.086288,0.147046,31.604119,39.800002,2223.268119,483.307969,1739.96015,1.715485,0.372923,1.342562,1739.96015,1.342562,101289.746376,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.98534,0.007085,0.992915,0.01466,0.98566,0.98534,0.983738,0.980201,0.999377,0.998636,0.919748,0.98534,0,10.664,0,10.265625,0,10265.625,1182594,1180677,133509,100,54.41358,?,1
nursey,1,9,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1712,11664,1296,1274,22,0,98.302469,1.697531,0,0.975017,0.08846,0.151097,32.388753,40.881172,2234.014981,500.495614,1733.519367,1.723777,0.386185,1.337592,1733.519367,1.337592,100968.170813,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.983025,0.007898,0.992102,0.016975,0.982239,0.983025,0.98113,0.976767,0.999158,0.996065,0.73214,0.983025,0.001,10.51,0,10.3125,0,10312.5,1182586,1180677,133509,100,54.135802,?,14
