@relation InstanceResultListener

@attribute Key_Dataset {chess}
@attribute Key_Run {1,2,3,4,5,6,7,8}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.IBk}
@attribute Key_Scheme_options {'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"'}
@attribute Key_Scheme_version_ID {-3080186098777067172}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureKNN numeric

@data

chess,1,1,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.17,25250,2806,1739,1067,0,61.974341,38.025659,0,0.575988,0.053281,0.168318,53.538145,75.456684,9832.918023,6856.400346,2976.517677,3.504247,2.443478,1.060769,6274.254428,2.236014,178988.276939,0.946429,265,0.076405,193,0.923595,2333,0.053571,15,0.578603,0.946429,0.718157,0.705578,0.977242,0.7706,0.619743,0.040072,0.959928,0.380257,0.626938,0.619743,0.61707,0.580429,0.91226,0.636046,0.55555,0.619743,0.004,54.731,0.015625,53.671875,15.625,53671.875,2150440,2148611,240871,90.698503,13.18009,?,4
chess,1,2,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1701,25250,2806,1738,1068,0,61.938703,38.061297,0,0.575278,0.05325,0.16816,53.506968,75.385623,9832.918023,6652.17036,3180.747663,3.504247,2.370695,1.133552,6297.625021,2.244342,179654.979626,0.957143,268,0.070863,179,0.929137,2347,0.042857,12,0.599553,0.957143,0.737276,0.725853,0.975039,0.765703,0.619387,0.04073,0.95927,0.380613,0.62264,0.619387,0.615152,0.577934,0.916089,0.633112,0.544605,0.619387,0.004,64.473,0,63.6875,0,63687.5,2150440,2148611,240871,91.197434,13.19197,?,4
chess,1,3,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1702,25250,2806,1724,1082,0,61.439772,38.560228,0,0.569818,0.053966,0.168358,54.224881,75.473126,9837.076077,6820.981762,3016.094315,3.505729,2.430856,1.074873,6244.435277,2.225387,178145.982374,0.946429,265,0.078781,199,0.921219,2327,0.053571,15,0.571121,0.946429,0.712366,0.699982,0.970929,0.735372,0.614398,0.041278,0.958722,0.385602,0.624128,0.614398,0.612122,0.575083,0.911678,0.633264,0.559224,0.614398,0.003,64.884,0.015625,63.859375,15.625,63859.375,2150448,2148611,240871,90.841055,13.417676,?,4
chess,1,4,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1703,25250,2806,1744,1062,0,62.15253,37.84747,0,0.578083,0.053189,0.167804,53.443184,75.223299,9837.784069,6928.621892,2909.162177,3.505981,2.469217,1.036765,6299.302826,2.24494,179712.721247,0.917563,256,0.067669,171,0.932331,2356,0.082437,23,0.599532,0.917563,0.725212,0.70804,0.968292,0.735371,0.621525,0.039769,0.960231,0.378475,0.628127,0.621525,0.619467,0.582352,0.911448,0.640949,0.52795,0.621525,0.005,64.993,0,63.65625,0,63656.25,2150448,2148611,240871,90.484676,13.201869,?,4
chess,1,5,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1704,25250,2806,1725,1081,0,61.47541,38.52459,0,0.570182,0.054017,0.169428,54.275411,75.951613,9837.577458,6808.318378,3029.25908,3.505908,2.426343,1.079565,6224.764576,2.218377,177585.806981,0.921147,257,0.066086,167,0.933914,2360,0.078853,22,0.606132,0.921147,0.731152,0.714411,0.975654,0.781858,0.614754,0.040828,0.959172,0.385246,0.617382,0.614754,0.611612,0.573358,0.908778,0.626966,0.530002,0.614754,0.003,64.066,0,63.296875,0,63296.875,2150440,2148611,240871,90.947969,13.338481,?,4
chess,1,6,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1705,25250,2806,1744,1062,0,62.15253,37.84747,0,0.577839,0.053367,0.16912,53.622529,75.813652,9835.861447,6985.740808,2850.120639,3.505296,2.489573,1.015724,6251.35218,2.227852,178340.81712,0.935484,261,0.061733,156,0.938267,2371,0.064516,18,0.625899,0.935484,0.75,0.735049,0.977237,0.793449,0.621525,0.040712,0.959288,0.378475,0.623852,0.621525,0.617916,0.579777,0.90783,0.628308,0.565947,0.621525,0.003,65.54,0,64.5,0,64500,2150448,2148611,240871,90.377762,13.039518,?,4
chess,1,7,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1706,25251,2805,1754,1051,0,62.531194,37.468806,0,0.582402,0.053573,0.168393,53.833136,75.49352,9824.180284,6878.85092,2945.329364,3.502382,2.452353,1.050028,6288.899701,2.242032,179395.438129,0.949821,265,0.058591,148,0.941409,2378,0.050179,14,0.641646,0.949821,0.765896,0.752754,0.979916,0.797238,0.625312,0.040138,0.959862,0.374688,0.62911,0.625312,0.622537,0.584435,0.911178,0.636304,0.576112,0.625312,0.003,63.404,0,62.71875,0,62718.75,2150525,2148696,240786,90.659537,13.295702,?,4
chess,1,8,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1707,25251,2805,1747,1058,0,62.28164,37.71836,0,0.579213,0.05366,0.168454,53.920049,75.519536,9825.080506,6486.701129,3338.379377,3.502702,2.312549,1.190153,6269.504566,2.235117,178843.993495,0.925,259,0.065347,165,0.934653,2360,0.075,21,0.610849,0.925,0.735795,0.7194,0.974905,0.747854,0.622816,0.040553,0.959447,0.377184,0.627901,0.622816,0.620277,0.582579,0.913854,0.631048,0.530611,0.622816,0.004,65.248,0.015625,64.28125,15.625,64281.25,2150533,2148696,240786,91.693405,13.307586,?,4
chess,1,9,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1708,25251,2805,1753,1052,0,62.495544,37.504456,0,0.581681,0.053589,0.16838,53.850052,75.488876,9823.959534,6662.737071,3161.222463,3.502303,2.375307,1.126996,6313.382772,2.25076,180093.406976,0.939286,263,0.064554,163,0.935446,2362,0.060714,17,0.617371,0.939286,0.745042,0.730604,0.974581,0.775065,0.624955,0.040463,0.959537,0.375045,0.626399,0.624955,0.621096,0.583032,0.914051,0.633212,0.530862,0.624955,0.004,62.416,0,61.71875,0,61718.75,2150525,2148696,240786,91.158645,13.184789,?,4
